osm_id,full_osm_id,name,highway,surface,oneway,bridge,centroid_lat,centroid_lng,road_length,geometry,dist_to_water_m,dist_to_drain_m,flood_count,is_flooded,highway_score,avg_rainfall_mm,risk_label
207260591,way/207260591,,residential,,0,0,13.0752568,80.20614619999999,116.72,"{'type': 'LineString', 'coordinates': [[80.206735, 13.0751067], [80.2059875, 13.0752971], [80.2057161, 13.0753666]]}",272.11,1469.49,0,0,4,0.161,0
207260594,way/207260594,17th street,residential,,0,0,13.07291095,80.20651285,86.38,"{'type': 'LineString', 'coordinates': [[80.2061192, 13.0729615], [80.2063773, 13.0729269], [80.2066634, 13.0728885], [80.2068915, 13.0728669]]}",533.27,1595.97,0,0,4,0.161,0
207260595,way/207260595,,residential,,0,0,13.07417827142857,80.20761954285715,219.79,"{'type': 'LineString', 'coordinates': [[80.2065468, 13.0743706], [80.2071863, 13.0742228], [80.2074748, 13.0742277], [80.2076342, 13.0741758], [80.2079478, 13.0741258], [80.20806, 13.0741079], [80.2084869, 13.0740173]]}",439.66,1660.48,0,0,4,0.161,0
207260597,way/207260597,,residential,,0,0,13.07490618,80.20528314,147.75,"{'type': 'LineString', 'coordinates': [[80.2049689, 13.0751509], [80.2049767, 13.075177], [80.2055583, 13.0750417], [80.2055019, 13.0748104], [80.2054099, 13.0743509]]}",282.63,1388.86,0,0,4,0.161,0
207260598,way/207260598,,residential,,0,0,13.074027725,80.207624375,106.05,"{'type': 'LineString', 'coordinates': [[80.2075633, 13.0735911], [80.2075739, 13.0738145], [80.2076342, 13.0741758], [80.2077261, 13.0745295]]}",455.25,1666.19,0,0,4,0.161,0
207260599,way/207260599,,residential,,0,0,13.075089966666667,80.2047993,172.82,"{'type': 'LineString', 'coordinates': [[80.2042191, 13.0752416], [80.2044744, 13.0752042], [80.2047109, 13.0751787], [80.2049689, 13.0751509], [80.2049206, 13.074954], [80.2055019, 13.0748104]]}",254.84,1331.49,0,0,4,0.161,0
207260600,way/207260600,,residential,,0,0,13.076330125,80.20644515000001,109.09,"{'type': 'LineString', 'coordinates': [[80.2063433, 13.0769195], [80.2064431, 13.0763475], [80.2064883, 13.076103], [80.2065059, 13.0759505]]}",168.87,1475.08,0,0,4,0.161,1
207260602,way/207260602,,residential,,0,0,13.0761103,80.20669335,45.55,"{'type': 'LineString', 'coordinates': [[80.2064883, 13.076103], [80.2068984, 13.0761176]]}",202.09,1506.76,0,0,4,0.161,0
207260604,way/207260604,,residential,,0,0,13.073252378571429,80.20427560714286,351.47,"{'type': 'LineString', 'coordinates': [[80.202856, 13.0735881], [80.2030905, 13.0734965], [80.2032833, 13.0734255], [80.2034199, 13.0733888], [80.2036701, 13.0733217], [80.2038277, 13.0732794], [80.204111, 13.0732087], [80.2042113, 13.0731813], [80.2048006, 13.0730372], [80.2050589, 13.0729664], [80.2052956, 13.0729016], [80.205358, 13.0730896], [80.2053782, 13.0731505], [80.2054974, 13.073498]]}",452.26,1355.37,0,0,4,0.161,0
207264536,way/207264536,Mangali Nagar 1st Street,residential,,0,0,13.075552175,80.21165495000001,348.75,"{'type': 'LineString', 'coordinates': [[80.210333, 13.075212], [80.211156, 13.0751582], [80.2116292, 13.0750765], [80.2116777, 13.0750867], [80.2117018, 13.0751077], [80.2117144, 13.0751426], [80.2117351, 13.0752002], [80.211791, 13.0753771], [80.2118983, 13.0757269], [80.21201, 13.0761826], [80.212084, 13.0765478], [80.2121289, 13.0768078]]}",220.79,2059.5,0,0,4,0.161,0
207264546,way/207264546,,residential,,0,0,13.0721435,80.205752,112.73,"{'type': 'LineString', 'coordinates': [[80.2056464, 13.0716468], [80.2058576, 13.0726402]]}",593.44,1557.59,0,0,4,0.161,0
